Trait No.,word
1,abrupt
2,absent-mindedness
3,abusive
4,accommodating
5,accomplished
6,acerbity
7,acquiescent
8,acquisitive
9,adamant
10,adaptability
11,addictive
12,adept
13,adroit
14,adventurous
15,aesthetic interests
16,affable
17,affectation
18,affectionate
19,aggressive
20,agitated
21,agitation
22,agreeable
23,aimless
24,alcoholic
25,aloofness
26,altruism
27,ambiguous
28,ambitious
29,ambivalence
30,amenable
31,amiability
32,amorality
33,analytical
34,angry
35,animated
36,antagonistic
37,antisocial
38,anxious
39,apathetic
40,appreciation
41,apprehensive
42,ardor
43,argumentative
44,arrogance
45,arrogant
46,aspirations
47,assertive
48,assured
49,astute
50,athletic
51,"attention, desire for"
52,audacity
53,authoritative
54,avaricious
55,balanced
56,bellicosity
57,beneficent
58,benevolent
59,bluffer
60,boastful
61,boldness
62,bossy
63,broad-minded
64,brutality
65,bully
66,busybody
67,calculating
68,callous
69,calm
70,candid
71,careful
72,careless
73,cautious
74,ceremonious
75,changeable
76,chattiness
77,cheater
78,cheerful
79,clannish
80,clear-minded
81,clever
82,cocky
83,cold-hearted
84,color
85,combative
86,commiserating
87,common sense
88,communicative
89,compassionate
90,competitive
91,complacent
92,compliant
93,composed
94,compulsive
95,concealment
96,conceited
97,concentration
98,conciliatory
99,conformity
100,confused
101,conscientious
102,conservative
103,considerate
104,constancy
105,contemplative
106,contrary
107,controlled
108,conventional
109,conviction
110,cool-headed
111,coquettish
112,courageous
113,cowardice
114,creative
115,criminality
116,critical-minded
117,crude
118,cruel
119,cultured
120,cunning
121,curious
122,cynical
123,deceitful
124,deceptive
125,decisive
126,deductive thinker
127,defensive
128,defiant
129,deliberate
130,demonstrative
131,denial
132,dependable
133,dependent
134,depressed
135,desirous
136,despondent
137,despotism
138,detached
139,detail-oriented
140,determined
141,devoted
142,dictatorial
143,dignified
144,diligent
145,diplomatic
146,direct
147,discouraged
148,discrete
149,discriminating
150,disdainful
151,dishonest
152,disillusioned
153,disorderly
154,disorganized
155,distracted
156,distrustful
157,docile
158,dogmatic
159,dominating
160,domineering
161,dreamer
162,driven
163,dynamic
164,Eager
165,Earnest
166,easy-going
167,eccentric
168,economical
169,efficient
170,effusive
171,ego strength
172,egocentric
173,emotional
174,empathetic
175,emphatic
176,energetic
177,enterprising
178,enthusiastic
179,envious
180,equanimity
181,escapist
182,ethical
183,evasive
184,exacting
185,excessive
186,excitable
187,executive ability
188,exhibitionist
189,expansive
190,expedient
191,expert
192,expressive
193,extravagance
194,extroverted
195,facetious
196,fanatical
197,fanciful
198,farsighted
199,fastidious
200,fatalistic
201,fatigued
202,fearful
203,feeble-minded
204,fickle
205,firm
206,flexible
207,fluent
208,forceful
209,frank
210,friendly
211,frugal
212,gaiety
213,garrulous
214,generous
215,genial
216,gentle
217,goal-minded
218,good-hearted
219,good-natured
220,"grandeur, delusions of"
221,greedy
222,guilty
223,gullibility
224,harmonious
225,hasty
226,haughty
227,headstrong
228,helpful
229,hesitant
230,homosexual
231,honest
232,hopeful
233,hospitable
234,hostile
235,humanitarian
236,humorous
237,hypocrite
238,hysterical
239,idealistic
240,ill-tempered
241,imaginative
242,imbecile
243,immature
244,impartial
245,impassive
246,impatient
247,imperturbable
248,impetuous
249,impressionable
250,impudent
251,impulsive
252,inactive
253,inconsiderate
254,indecisive
255,independent
256,indifferent
257,individualism
258,indolent
259,indulgent
260,industrious
261,inferiority
262,inflexible
263,ingenious
264,inhibited
265,initiative
266,insecure
267,insincere
268,instable
269,instinctual
270,integrity
271,intelligent
272,intense
273,intolerant
274,introverted
275,intuitive
276,inventive
277,irrational
278,irresponsible
279,irritable
280,jealous
281,jingoistic
282,jolly
283,judgemental
284,judicious
285,keen
286,kind
287,lazy
288,leader
289,level-headed
290,literal-minded
291,literary
292,logical
293,loner
294,loyal
295,lunatic
296,luxuriate
297,lyrical
298,magnanimous
299,manipulative
300,masculine
301,materialistic
302,mature
303,meek
304,melancholy
305,mendacious
306,meticulous
307,modern
308,modest
309,moody
310,motivated
311,naive
312,narcissistic
313,narrow-minded
314,negative
315,negligent
316,nervous
317,neurotic
318,non-conformist
319,nymphomaniac
320,obedient
321,objective
322,observant
323,obsessive
324,obstinate
325,offensive
326,open
327,opinionated
328,opportunistic
329,optimistic
330,orderliness
331,organizational ability
332,original
333,ostentatious
334,paranoid
335,passionate
336,passive-aggressive
337,passive-dependent
338,pathological liar
339,patient
340,pedantic
341,perceptive
342,perfectionist
343,persecution complex
344,perseverance 
345,persistent
346,persuasiveness
347,pessimistic
348,petty
349,physical-minded
350,poised
351,pompous
352,possessive
353,practical
354,precise
355,prejudiced
356,presumptuous 
357,pretentious
358,prideful
359,procrastinator
360,progressive
361,promiscuous
362,pugnacious
363,realistic
364,reasonable
365,rebellious
366,reckless
367,recognition
368,refined
369,regressive
370,rejected
371,relatedness
372,repressed
373,resentful
374,reserved
375,resigned
376,resilient
377,resolute
378,resourceful
379,respectful
380,responsible
381,responsive
382,restless
383,reticent
384,"ridicule, fear of"
385,rigid
386,sadistic
387,secretive
388,sedate
389,seducer
390,self-abasement
391,self-aware
392,self-castigation
393,self-confident
394,self-conscious
395,self-controlled
396,self-deceit
397,self-esteem
398,self-pity
399,self-protective
400,self-reliant
401,selfish
402,senile
403,sensitive
404,sensual
405,sensuous
406,sentimental
407,serious
408,shrewd
409,shy
410,sincere
411,skeptical
412,social
413,spiritual
414,spontaneous
415,stabile
416,stamina
417,steadfast
418,stingy
419,stubborn
420,submissive
421,suicidal
422,superficial
423,suppressed
424,suspicious
425,sympathetic
426,taciturn
427,tactful
428,tactless
429,talkative
430,temper
431,temperament
432,tenacious
433,tender
434,tense
435,thorough
436,thoughtful
437,thoughtless
438,thrifty
439,timid
440,tolerant
441,trustful
442,trustworthy
443,truthful
444,tyrannical
445,unassuming
446,uncommunicative
447,unconcerned
448,uncooperative
449,undisciplined
450,unimpeachable
451,uninhibited
452,unpredictable
453,unreliable
454,unruly
455,unstable
456,unworldly
457,unyielding
458,urges
459,usurious
460,vacillating
461,vane
462,"variety, desire"
463,verbal facility
464,versatile
465,vindictive
466,violent
467,virile
468,visionary
469,vital
470,vitality
471,vivacious
472,vixen
473,volcanic
474,vulgar
475,wallflower
476,wanton
477,warmhearted
478,weak
479,welcoming
480,willful
481,willing
482,withdrawn
483,xenophobic
484,yes man
485,yielding
486,zany
487,zealous
